
Interview	event
with	event
LibriVox	event
founder	event
Hugh	event
McGuire	event

Sunday	time
,	O
May	time
28	time
,	time
2006	time

The	place
LibriVox	place
website	place
features	O
a	object
catalog	object
of	object
about	object
a	object
hundred	object
completed	object
books	object
,	object
including	object
books	object
in	object
other	object
languages	object
like	object
German	object
,	object
Hebrew	object
,	object
and	object
Japanese	object
.	O

Why	O
did	O
you	person
decide	O
to	event
take	event
the	event
acoustic	event
fate	event
of	event
public	event
domain	event
works	event
into	event
your	event
own	event
hands	event
,	O
and	O
how	O
did	O
you	person
go	O
about	O
it	event
?	O

I	person
think	O
that	O
a	abstract
vibrant	abstract
public	abstract
domain	abstract
is	O
very	O
important	O
to	O
a	place
healthy	place
world	place
,	O
and	O
so	O
I	person
thought	O
:	O
here	O
's	O
a	abstract
way	abstract
to	O
help	O
the	abstract
cause	abstract
.	O

I	event
launched	event
LibriVox	event
,	event
emailed	event
some	event
friends	event
and	event
some	event
podcasters	event
who	event
where	event
doing	event
literary	event
stuff	event
,	event
and	event
invited	event
them	event
to	event
record	event
a	event
chapter	event
of	event
Joseph	event
Conrad	event
's	event
Secret	event
Agent	event
.	event

Things	abstract
have	O
grown	O
steadily	O
since	O
.	O

By	O
the	O
way	O
,	O
AKMA	person
was	O
the	person
first	person
guy	person
I	person
know	O
of	O
to	event
do	event
something	event
like	event
this	event
,	event
with	event
Lawrence	event
Lessig	event
's	event
Free	event
Culture	event
.	O

That	event
,	O
I	person
think	O
,	O
started	O
my	event
thinking	event
about	event
this	event
,	O
but	O
it	event
took	O
a	time
while	time
for	event
the	event
idea	event
to	event
crystallize	event
.	O

Hugh	person
McGuire	person
with	O
some	object
books	object
that	O
have	O
not	O
yet	O
been	O
acoustically	O
liberated	O
.	O

Do	O
you	person
personally	O
record	O
audiobooks	object
,	O
and	O
did	O
you	person
already	O
do	O
so	O
before	O
LibriVox	place
?	O

LibriVox	place
was	O
my	event
first	event
experience	event
recording	O
audiobooks	object
.	O

I	person
still	O
do	O
the	abstract
odd	abstract
chapter	abstract
,	O
but	O
i	person
am	O
a	O
bit	O
delinquent	O
in	O
finishing	O
some	object
of	object
them	object
these	O
days	O
!	O

Is	O
there	O
a	object
particular	object
LibriVox	object
book	object
which	O
you	person
think	O
stands	O
out	O
because	O
of	O
the	abstract
quality	abstract
,	O
the	abstract
overall	abstract
effort	abstract
involved	abstract
,	O
its	abstract
popularity	abstract
,	O
or	O
for	O
some	abstract
other	abstract
reason	abstract
?	O

My	object
personal	object
favourite	object
is	O
Notes	object
from	object
the	object
Underground	object
(	O
Dostoyevsky	person
)	O
.	O

Other	object
random	object
good	object
ones	object
:	O

Austen	person
,	person
Jane	person
.	O

Pride	object
and	object
Prejudice	object

Christie	person
,	person
Agatha	person
.	O

