
Wikinews	organization
interviews	O
meteorological	person
experts	person
on	O
Cyclone	event
Phalin	event

File	object
photo	object
of	object
interviewee	object
David	object
Titley	object
.	O

Image	object
:	O
David	person
Titley	person
.	O

Cyclone	event
Phailin	event
has	O
winds	abstract
that	O
have	O
been	O
measured	O
at	O
200	quantity
km	quantity
/	quantity
h	quantity
,	O
as	O
it	event
surges	O
over	O
land	place
will	O
it	event
begin	O
to	O
lose	O
strength	abstract
?	O

Yes	O
,	O
all	event
tropical	event
cyclones	event
are	O
driven	O
by	O
high	substance
heat	substance
content	substance
waters	substance
.	O

Once	O
a	event
storm	event
moves	O
over	O
any	place
appreciably	place
sized	place
piece	place
of	place
land	place
,	O
the	abstract
moisture	abstract
source	abstract
is	O
removed	O
and	O
the	event
storm	event
begins	O
to	O
dissipate	O
.	O

As	O
of	O
the	event
last	event
advisory	event
,	O
T	event
C	event
Phailin	event
has	O
winds	abstract
of	abstract
190	abstract
kilometers	abstract
per	abstract
hour	abstract
and	O
has	O
moved	O
inland	O
,	O
headed	O
on	O
a	abstract
northwest	abstract
track	abstract
.	O

That	event
is	O
a	event
Category	event
3	event
storm	event
.	O

The	abstract
forecast	abstract
is	O
for	O
a	event
continued	event
decline	event
in	event
strength	event
to	event
a	event
tropical	event
storm	event
within	event
24	event
hours	event
and	event
a	event
tropical	event
depression	event
within	event
36	event
hours	event
.	O

However	O
,	O
there	O
will	O
be	O
very	event
heavy	event
rains	event
and	O
flooding	event
along	O
its	abstract
path	abstract
.	O

Yes	O
,	O
it	event
will	event
loose	event
strength	event
steadily	event
as	event
more	event
and	event
more	event
of	event
this	event
swirling	event
system	event
moves	event
from	event
being	event
over	event
ocean	event
to	event
being	event
over	event
land	event
.	O

This	event
occurs	O
for	O
two	abstract
reasons	abstract
:	O

As	abstract
it	abstract
moves	abstract
over	abstract
land	abstract
,	abstract
it	abstract
is	abstract
cut	abstract
off	abstract
from	abstract
the	abstract
source	abstract
of	abstract
energy	abstract
driving	abstract
the	abstract
storm	abstract
[	abstract
which	abstract
is	abstract
]	abstract
the	abstract
evaporation	abstract
of	abstract
water	abstract
from	abstract
the	abstract
warm	abstract
sea	abstract
surface	abstract
;	O

Increased	abstract
friction	abstract
-	O
the	place
ocean	place
surface	place
is	O
much	O
,	O
much	O
smoother	O
than	O
the	place
land	place
surface	place
.	O

Tropical	event
cyclones	event
are	O
sustained	O
by	O
a	abstract
form	abstract
of	abstract
energy	abstract
called	O
latent	abstract
heat	abstract
,	O
which	O
is	O
released	O
by	O
moisture	abstract
evaporated	O
from	O
the	place
ocean	place
that	O
condenses	O
to	O
form	O
rain	substance
.	O

As	O
tropical	event
cyclones	event
make	O
landfall	abstract
,	O
this	abstract
energy	abstract
source	abstract
is	O
cut-off	O
and	O
they	event
rapidly	O
lose	O
strength	abstract
as	O
they	event
move	O
over	O
land	place
.	O

Yes	O
,	O
the	event
Cyclone	event
is	O
almost	O
certain	O
to	O
lose	O
strength	abstract
as	O
it	event
surges	O
over	O
land	place
.	O

Cyclones	event
gather	O
their	abstract
strength	abstract
through	O
scraping	event
moisture	event
and	event
heat	event
from	event
warm	event
ocean	event
water	event
that	O
it	event
is	O
not	O
the	O
case	O
over	O
land	place
.	O

In	O
the	O
mean	O
time	O
,	O
much	abstract
stronger	abstract
friction	abstract
over	abstract
land	abstract
quickly	O
reduces	O
their	abstract
strength	abstract
.	O

Yes	O
.	O

All	event
tropical	event
cyclones	event
lose	O
strength	abstract
once	O
they	event
make	O
landfall	abstract
.	O

However	O
,	O
they	event
can	O
remain	O
dangerous	event
storms	event
due	O
to	O
very	event
heavy	event
rains	event
and	O
subsequent	event
landslides	event
,	O
and	O
river	event
flooding	event
.	O

Phailin	abstract
's	abstract
winds	abstract
will	O
rapidly	O
weaken	O
as	O
it	event
pushes	O
inland	O
.	O

Once	O
Cyclone	event
Phailin	event
comes	O
on	O
shore	place
it	event
will	O
immediately	O
begin	O
to	O
lose	O
strength	abstract
.	O

However	O
,	O
and	O
this	abstract
is	O
important	O
,	O
it	abstract
