
Wikinews	organization
interviews	O
academic	person
Simon	person
Ličen	person
about	O
attitudes	abstract
towards	abstract
US	abstract
Paralympics	abstract

Saturday	time
,	O
November	time
16	time
,	O
2013	O

A	O
Russian	O
stamp	O
for	O
Paralympic	event
Games	event
in	event
Sochi	event
in	event
2014	event

On	O
Thursday	time
,	O
with	O
110	time
days	time
until	O
the	O
start	O
of	O
the	event
2014	event
Winter	event
Paralympics	event
in	event
Sochi	event
,	event
Russia	event
,	O
Wikinews	organization
interviewed	O
Assistant	person
Professor	person
in	person
Educational	person
Leadership	person
,	person
Sport	person
Studies	person
and	person
Educational	person
/	person
Counseling	person
Psychology	person
at	person
Washington	person
State	person
University	person
Simon	person
Ličen	person
about	O
attitudes	abstract
in	abstract
United	abstract
States	abstract
towards	abstract
the	abstract
Paralympics	abstract
.	O

Ličen	person
has	O
recently	O
joined	O
the	organization
Sport	organization
Management	organization
Program	organization
at	organization
Washington	organization
State	organization
University	organization
to	O
develop	O
its	organization
sport	abstract
media	abstract
and	abstract
communication	abstract
research	abstract
and	abstract
teaching	abstract
contents	abstract
.	O

Originally	O
from	O
Slovenia	place
,	O
he	person
served	O
as	O
the	person
Director	person
of	person
Media	person
and	person
Communications	person
of	person
a	person
WTA	person
Tour	person
event	person
and	O
was	O
a	person
member	person
of	person
the	person
UNESCO	person
Slovenian	person
National	person
Commission	person
.	O

He	person
was	O
also	O
the	person
Team	person
Manager	person
of	person
the	person
Slovenian	person
wheelchair	person
basketball	person
national	person
team	person
.	O

Why	O
do	O
you	person
think	O
the	organization
Paralympic	organization
movement	organization
has	O
so	O
little	O
visibility	O
in	O
the	place
US	place
compared	O
to	O
other	place
countries	place
like	O
Australia	place
,	O
the	place
United	place
Kingdom	place
and	O
even	O
Canada	place
?	O

Sports	abstract
in	abstract
the	abstract
United	abstract
States	abstract
largely	O
reaffirm	O
existing	abstract
relations	abstract
of	abstract
power	abstract
in	abstract
society	abstract
.	O

It	abstract
emphasizes	O
consumerism	abstract
,	O
the	abstract
belief	abstract
that	abstract
success	abstract
always	abstract
