
The	abstract
future	abstract
of	abstract
the	abstract
peace	abstract
process	abstract
in	O
Israel	place

"	O
The	abstract
future	abstract
is	O
only	O
peace	abstract
.	O
The	abstract
problem	abstract
is	O
how	O
long	O
will	O
it	abstract
take	O
and	O
how	O
many	person
victims	person
will	O
it	abstract
call	O
for	O
.	O
"	O

Shimon	object
Peres	object
image	object
:	O
David	person
Shankbone	person
.	O

Mr.	person
President	person
,	O
as	O
a	person
Nobel	person
Peace	person
Prize	person
recipient	person
and	O
as	O
one	person
of	person
the	person
fathers	person
of	person
the	person
modern	person
peace	person
process	person
in	O
Israel	place
,	O
do	O
you	person
still	O
think	O
that	O
there	O
is	O
a	abstract
future	abstract
to	abstract
the	abstract
peace	abstract
process	abstract
?	O

The	abstract
future	abstract
is	O
only	O
peace	abstract
.	O

The	abstract
problem	abstract
is	O
how	O
long	O
will	O
it	abstract
take	O
and	O
how	O
many	person
victims	person
will	O
it	abstract
call	O
for	O
.	O

Why	O
do	O
I	person
say	O
peace	abstract
?	O

Because	O
when	O
you	person
look	O
historically	O
,	O
at	O
the	event
development	event
of	event
humanity	event
,	O
most	event
of	event
our	event
lives	event
we	person
are	O
living	O
on	O
the	place
land	place
.	O

The	abstract
history	abstract
is	abstract
written	abstract
with	abstract
red	abstract
ink	abstract
.	O

The	O
reason	O
for	O
it	abstract
is	O
because	O
people	person
were	O
fighting	O
for	O
our	place
land	place
,	O
either	O
defending	O
it	place
or	O
extending	O
it	place
,	O
because	O
that	O
was	O
the	abstract
main	abstract
source	abstract
.	O

The	place
land	place
,	O
the	substance
natural	substance
resources	substance
,	O
the	abstract
markets	abstract
,	O
all	abstract
these	abstract
go	O
together	O
.	O

The	O
minute	O
the	place
land	place
was	O
replaced	O
by	O
science	abstract
,	O
what	O
is	O
there	O
to	O
fight	O
about	O
?	O

Armies	organization
cannot	O
conquer	O
science	abstract
.	O

Customs	organization
cannot	O
check	O
what	O
a	person
scientist	person
has	O
in	O
his	abstract
mind	abstract
,	O
