
How	O
to	O
Make	O
Skittles	substance
Vodka	substance

Three	abstract
Methods	abstract
:	O
Single	quantity
Serving	quantity
(	O
25	quantity
mL	quantity
Shot	quantity
)	O

Bottles	O
of	O
"	substance
Skittled	substance
"	substance

Vodka	substance
Dishwasher	abstract
Bottle	abstract
Method	abstract

Making	O
Skittles	substance
vodka	substance
is	O
a	O
fun	O
way	O
to	O
add	O
a	abstract
splash	abstract
of	abstract
fruity	abstract
flavor	abstract
and	O
color	abstract
to	O
regular	substance
vodka	substance
.	O

All	O
you	person
need	O
to	O
do	O
is	O
place	O
your	object
favorite	object
combination	object
of	object
Skittles	object
candies	object
into	O
a	object
glass	object
or	O
bottle	object
of	object
vodka	object
and	O
wait	O
for	O
it	object
to	O
infuse	O
.	O

You	person
can	O
then	O
use	O
your	substance
Skittles	substance
vodka	substance
to	O
make	O
brightly-colored	object
cocktails	object
or	O
even	O
serve	O
it	object
as	O
a	object
sugary	object
shot	object
!	O

Find	O
multiple	abstract
methods	abstract
for	O
making	O
Skittles	substance
vodka	substance
after	O
the	abstract
jump	abstract
--	O
and	O
soon	O
you	person
'll	O
be	O
tasting	O
the	abstract
rainbow	abstract
!	O

Ingredients	object

A	quantity
handle	quantity
(	O
1.75	quantity
liters	quantity
,	O
about	quantity
a	quantity
half	quantity
gallon	quantity
)	O
of	O
vodka	substance
per	O
bag	object
of	object
Skittles	object

A	object
large	object
bag	object
of	object
Skittles	object
candy	object
(	O
the	object
"	object
movie	object
size	object
"	object
bag	object
)	O

Method	abstract
1	abstract
of	abstract
3	abstract
:	O
Single	quantity
Serving	quantity
(	O
25	object
mL	object
Shot	object
)	O

Separate	event
the	event
colors	event
of	event
Skittles	event
that	event
you	event
want	event
to	event
flavor	event
the	event
vodka	event
with	event
.	O

Many	person
people	person
choose	O
to	O
leave	O
out	O
the	substance
green	substance
,	O
which	O
is	O
lime	substance
if	O
you	person
're	O
using	O
original	substance
Skittles	substance
,	O
and	O
purple	substance
,	O
which	O
is	O
grape	substance
in	O
the	substance
original	substance
style	substance
,	O
as	O
they	substance
can	O
create	O
a	abstract
weird	abstract
taste	abstract
combination	abstract
or	O
a	abstract
less	abstract
than	abstract
appealing	abstract
color	abstract
for	O
the	object
final	object
product	object
.	O

However	O
,	O
you	person
can	O
put	O
them	substance
in	O
if	O
you	person
want	O
.	O

If	O
you	person
do	O
n't	O
mind	O
mixed	abstract
flavors	abstract
,	O
you	person
can	O
just	O
skip	O
this	abstract
step	abstract
altogether	O
.	O

Add	O
six	O
Skittles	substance
to	O
25	quantity
ml	quantity
of	O
vodka	substance
.	O

Keep	O
swirling	O
the	substance
mixture	substance
until	O
the	substance
Skittles	substance
are	O
almost	O
completely	O
dissolved	O
.	O

Note	O
that	O
the	abstract
ratio	abstract
of	abstract
Skittles	abstract
to	O
vodka	substance
varies	O
from	O
recipe	O
to	O
recipe	O
.	O

You	person
should	O
experiment	O
to	O
find	O
your	abstract
preferred	abstract
mix	abstract
before	O
making	O
larger	object
bottles	object
.	O

Filter	O
out	O
the	substance
remaining	substance
Skittle	substance
"	substance
insides	substance
"	substance
.	O

With	O
single	abstract
servings	abstract
like	O
this	abstract
,	O
you	person
can	O
decide	O
which	abstract
flavor(s)	abstract
you	person
like	O
best	O
and	O
proceed	O
to	O
making	O
bottles	object
,	O
if	O
you	person
desire	O
.	O

Method	abstract
2	abstract
of	abstract
3	abstract
:	O
Bottles	object
of	O
"	substance
Skittled	substance
"	substance
Vodka	substance

Pour	O
out	O
some	substance
vodka	substance
from	O
a	object
bottle	object
to	O
make	O
room	O
for	O
Skittles	substance
.	O

Separate	O
the	substance
Skittles	substance
by	O
color	abstract
.	O

Add	O
the	substance
Skittles	substance
(	O
20	substance
-	substance
25	substance
per	O
350	quantity
ml	quantity
