
Coron	place

Coron	place
is	O
in	O
the	place
province	place
of	place
Palawan	place
,	place
Philippines	place
on	place
Busuanga	place
Island	place
.	O

It	place
is	O
the	place
largest	place
town	place
on	place
the	place
island	place
and	O
has	O
the	object
largest	object
share	object
of	object
accommodations	object
.	O

Background	abstract

Coron	place
is	O
both	O
the	abstract
name	abstract
of	abstract
the	abstract
largest	abstract
town	abstract
on	abstract
the	abstract
island	abstract
of	abstract
Busuanga	abstract
,	O
and	O
the	abstract
name	abstract
of	abstract
a	abstract
different	abstract
,	abstract
smaller	abstract
island	abstract
just	abstract
offshore	abstract
.	O

The	place
area	place
is	O
famous	O
for	O
its	object
World	object
War	object
II	object
wreck	object
diving	object
,	O
and	O
the	place
site	place
has	O
been	O
named	O
in	O
many	object
lists	object
of	object
top	object
dive	object
spots	object
in	object
the	object
world	object
.	O

In	event
September	event
1944	event
,	event
a	event
fleet	event
of	event
Japanese	event
ships	event
hiding	event
in	event
the	event
harbor	event
were	event
sunk	event
in	event
a	event
daring	event
raid	event
by	event
the	event
US	event
navy	event
.	O

The	abstract
result	abstract
is	O
around	object
ten	object
well	object
preserved	object
underwater	object
shipwrecks	object
surrounded	object
with	object
coral	object
reef	object
.	O

There	O
are	O
also	O
attractions	object
on	object
Coron	object
Island	object
itself	object
.	O

There	O
are	O
many	place
beautiful	place
white	place
sand	place
beaches	place
,	place
mostly	place
tiny	place
and	place
surrounded	place
by	place
large	place
limestone	place
cliffs	place
and	O
wildlife	animal
.	O

Barracuda	place
and	place
Kayangan	place
lakes	place
are	O
both	O
stunning	place
locations	place
,	O
and	O
good	O
for	O
snorkeling	O
,	O
and	O
the	place
island	place
is	O
the	place
ancestral	place
domain	place
of	place
an	place
indigenous	place
tribe	place
who	O
are	O
managing	O
the	place
island	place
in	O
a	abstract
sustainable	abstract
way	abstract
and	O
keeping	O
outsiders	person
at	O
a	abstract
distance	abstract
and	O
offshore	place
at	O
night	time
.	O

History	abstract

The	person
first	person
inhabitants	person
of	person
Coron	person
were	O
the	person
Tagbanuas	person
who	O
belong	O
to	O
the	event
second	event
wave	event
of	event
Indonesians	event
who	O
migrated	O
to	O
this	place
area	place
some	time
5,000	time
years	time
ago	time
.	O

They	person
were	O
a	person
nomadic	person
,	person
seafaring	person
people	person
,	O
living	O
mainly	O
by	O
fishing	object
and	O
subsistence	object
agriculture	object
.	O

Although	O
they	person
are	O
now	O
sedentary	O
(	O
with	O
the	person
young	person
using	O
cell	object
phones	object
,	O
etc.	O
)	O
,	O
they	person
maintain	O
many	O
of	O
their	object
old	object
customs	object
,	O
traditions	abstract
and	O
beliefs	abstract
.	O

Today	time
,	O
the	person
Tagbanuas	person
remain	O
the	person
dominant	person
if	person
not	person
entire	person
population	person
of	person
Coron	person
.	O

In	O
1902	time
that	place
Coron	place
was	O
registered	O
as	O
a	O
town	O
and	O
the	abstract
name	abstract
of	abstract
the	abstract
town	abstract
was	O
officially	O
changed	O
from	O
Penon	abstract
de	abstract
Coron	abstract
to	O
Coron	abstract
.	O

From	O
1939	time
to	time
the	time
outbreak	time
of	time
World	time
War	time
II	time
,	O
the	place
municipality	place
experienced	O
the	event
mining	event
boom	event
.	O

Labor	abstract
shifted	O
from	O
farming	object
to	O
mining	object
.	O

In	O
July	time
1942	time
the	person
Japanese	person
occupied	O
the	place
mining	place
camps	place
and	O
resumed	O
operation	event
of	event
the	event
manganese	event
mines	event
.	O

On	O
September	time
24	time
,	O
1944	time
,	O
a	object
group	object
of	object
Japanese	object
ships	object
were	O
sunk	O
by	O
American	object
warplanes	object
in	object
Coron	object
waters	object
as	O
the	object
ships	object
retreated	O
from	O
Manila	place
Bay	place
.	O

To	O
this	time
day	time
,	O
about	quantity
10	quantity
or	quantity
12	quantity
of	quantity
these	quantity
World	quantity
War	quantity
II	quantity
Japanese	quantity
shipwrecks	quantity
comprise	O
what	O
is	O
considered	O
one	place
of	place
the	place
best	place
dive	place
sites	place
in	place
the	place
world	place
.	O

In	O
1947	time
,	O
large	abstract
scale	abstract
deep	object
sea	object
fishing	object
was	O
introduced	O
to	O
Coron	place
,	O
and	O
the	place
town	place
experienced	O
another	person
boom	person
,	O
a	person
fishing	person
boom	person
.	O

The	abstract
population	abstract
increased	O
,	O
as	O
many	person
people	person
from	person
Luzon	person
and	person
the	person
Visayas	person
came	O
to	O
work	O
either	O
as	O
fishermen	person
or	O
miners	person
.	O

On	O
June	abstract
17	abstract
,	O
1950	time
,	O
Busuanga	place
was	O
officially	O
created	O
as	O
a	abstract
separate	abstract
municipality	abstract
from	abstract
Coron	abstract
and	O
in	O
1954	time
,	O
Coron	place
was	O
further	O
reduced	O
by	O
the	abstract
official	abstract
creation	abstract
of	abstract
the	abstract
Municipality	abstract
of	abstract
Linapacan	abstract
.	O

On	O
September	time
12	time
,	time
1992	time
,	O
Coron	place
was	O
finally	O
reduced	O
by	O
the	abstract
official	abstract
creation	abstract
of	abstract
the	abstract
Municipality	abstract
of	abstract
Culion	abstract
.	O

In	O
the	time
past	time
,	O
Coron	place
was	O
virtually	O
unknown	O
outside	O
of	O
Palawan	place
.	O

It	place
remains	O
a	place
small	place
,	place
quaint	place
fishing	place
town	place
with	O
laid	abstract
back	abstract
charm	abstract
but	O
with	O
increasing	O
media	abstract
exposure	abstract
it	place
is	O
growing	O
,	O
slowly	O
but	O
steadily	O
,	O

Coron	place
has	O
taken	O
an	abstract
important	abstract
position	abstract
in	abstract
the	abstract
tourism	abstract
industry	abstract
.	O
